Kód ORP,Název ORP,Kód okresu,Název okresu,Kód kraje,Název kraje,Lidé v exekuci (2021) [%],Lidé v exekuci (2021) / Průměr ČR [%],Lidé v exekuci (2021) / Průměr kraje [%],Lidé v exekuci (2021) / Průměr okresu [%],Lidé v exekuci (2021) / Průměr sociálně podobných ORP [%],Podíl lidí bez středního vzdělání (2021) [%],Podíl lidí bez středního vzdělání (2021) / Průměr ČR [%],Podíl lidí bez středního vzdělání (2021) / Průměr kraje [%],Podíl lidí bez středního vzdělání (2021) / Průměr okresu [%],Podíl lidí bez středního vzdělání (2021) / Průměr sociálně podobných ORP [%],Domácnosti čerpající přídavek na živobytí (2020) [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr ČR [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr kraje [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr okresu [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr sociálně podobných ORP [%],Propadání (průměr 2015–2021) [%],Propadání (průměr 2015–2021) / Průměr ČR [%],Propadání (průměr 2015–2021) / Průměr kraje [%],Propadání (průměr 2015–2021) / Průměr okresu [%],Propadání (průměr 2015–2021) / Průměr sociálně podobných ORP [%],Názvy sociálně podobných ORP,Kódy sociálně podobných ORP
7207,Uherské Hradiště,40835,Uherské Hradiště,3131,Zlínský kraj,3.4,6.3,4.0,3.4,4.0,13.8,13.2,13.5,14.0,13.3,1.3,3.9,1.8,1.3,1.8,0.6,1.4,0.8,0.5,0.8,"Blansko, Boskovice, Frenštát pod Radhoštěm, Holešov, Horažďovice, Hořovice, Hustopeče, Jilemnice, Konice, Lanškroun, Mnichovo Hradiště, Nové Město na Moravě, Nové Město nad Metují, Pelhřimov, Přeštice, Rosice, Světlá nad Sázavou, Třebíč, Valašské Meziříčí, Vsetín","6201, 6202, 8105, 7202, 3203, 2108, 6207, 5104, 7103, 5306, 2116, 6108, 5211, 6110, 3210, 6214, 6111, 6113, 7210, 7212"
7208,Uherský Brod,40835,Uherské Hradiště,3131,Zlínský kraj,3.5,6.3,4.0,3.4,3.5,14.4,13.2,13.5,14.0,12.8,1.4,3.9,1.8,1.3,1.1,0.3,1.4,0.8,0.5,1.0,"Brandýs nad Labem-Stará Boleslav, Frýdlant nad Ostravicí, Havlíčkův Brod, Hlinsko, Holice, Humpolec, Chotěboř, Náměšť nad Oslavou, Nová Paka, Pacov, Rožnov pod Radhoštěm, Slavkov u Brna, Telč, Třinec, Turnov, Valašské Klobouky, Zlín, Žamberk, Žďár nad Sázavou, Židlochovice","2103, 8107, 6102, 5302, 5303, 6103, 6104, 6107, 5210, 6109, 7206, 6215, 6112, 8121, 5109, 7209, 7213, 5315, 6115, 6221"
7206,Rožnov pod Radhoštěm,40843,Vsetín,3131,Zlínský kraj,3.2,6.3,4.0,3.9,3.5,14.0,13.2,13.5,13.6,12.7,0.7,3.9,1.8,2.5,1.1,0.4,1.4,0.8,0.8,1.0,"Brandýs nad Labem-Stará Boleslav, Frýdlant nad Ostravicí, Havlíčkův Brod, Hlinsko, Holice, Humpolec, Chotěboř, Kuřim, Nová Paka, Pacov, Slavkov u Brna, Telč, Třinec, Turnov, Uherský Brod, Valašské Klobouky, Zlín, Žamberk, Žďár nad Sázavou, Židlochovice","2103, 8107, 6102, 5302, 5303, 6103, 6104, 6209, 5210, 6109, 6215, 6112, 8121, 5109, 7208, 7209, 7213, 5315, 6115, 6221"
7210,Valašské Meziříčí,40843,Vsetín,3131,Zlínský kraj,4.4,6.3,4.0,3.9,3.8,12.4,13.2,13.5,13.6,13.2,3.3,3.9,1.8,2.5,1.6,0.6,1.4,0.8,0.8,0.7,"Blansko, Dobruška, Frenštát pod Radhoštěm, Jilemnice, Lanškroun, Náměšť nad Oslavou, Nová Paka, Nové Město na Moravě, Nové Město nad Metují, Pelhřimov, Rosice, Světlá nad Sázavou, Telč, Třinec, Turnov, Uherské Hradiště, Vlašim, Vsetín, Zlín, Židlochovice","6201, 5202, 8105, 5104, 5306, 6107, 5210, 6108, 5211, 6110, 6214, 6111, 6112, 8121, 5109, 7207, 2125, 7212, 7213, 6221"
7212,Vsetín,40843,Vsetín,3131,Zlínský kraj,3.9,6.3,4.0,3.9,3.9,14.1,13.2,13.5,13.6,13.2,3.0,3.9,1.8,2.5,1.8,1.1,1.4,0.8,0.8,0.7,"Blansko, Boskovice, Dobruška, Frenštát pod Radhoštěm, Holešov, Horažďovice, Jilemnice, Lanškroun, Mnichovo Hradiště, Náměšť nad Oslavou, Nové Město na Moravě, Nové Město nad Metují, Pelhřimov, Přeštice, Rosice, Světlá nad Sázavou, Telč, Uherské Hradiště, Valašské Meziříčí, Vlašim","6201, 6202, 5202, 8105, 7202, 3203, 5104, 5306, 2116, 6107, 6108, 5211, 6110, 3210, 6214, 6111, 6112, 7207, 7210, 2125"
7204,Luhačovice,40851,Zlín,3131,Zlínský kraj,2.6,6.3,4.0,3.8,4.5,12.7,13.2,13.5,13.2,12.9,0.3,3.9,1.8,0.8,1.8,0.3,1.4,0.8,0.9,0.9,"Brno, Čáslav, Černošice, Frýdlant nad Ostravicí, Hodonín, Jablunkov, Kuřim, Litomyšl, Lysá nad Labem, Mikulov, Plzeň, Polička, Příbram, Říčany, Šlapanice, Tišnov, Týn nad Vltavou, Velké Meziříčí, Vimperk, Vizovice","6203, 2104, 2105, 8107, 6206, 8110, 6209, 5307, 2113, 6211, 3209, 5310, 2120, 2122, 6216, 6217, 3115, 6114, 3116, 7211"
7205,Otrokovice,40851,Zlín,3131,Zlínský kraj,4.7,6.3,4.0,3.8,4.7,15.0,13.2,13.5,13.2,13.3,1.0,3.9,1.8,0.8,2.4,1.3,1.4,0.8,0.9,1.2,"Blovice, Bystřice pod Hostýnem, Dobříš, Hradec Králové, Chrudim, Jihlava, Klatovy, Kostelec nad Orlicí, Milevsko, Mohelnice, Náchod, Opava, Pardubice, Rokycany, Sedlčany, Ústí nad Orlicí, Veselí nad Moravou, Votice, Zábřeh, Železný Brod","3201, 7201, 2107, 5205, 5304, 6105, 3205, 5208, 3107, 7106, 5209, 8117, 5309, 3211, 2123, 5313, 6218, 2126, 7113, 5110"
7209,Valašské Klobouky,40851,Zlín,3131,Zlínský kraj,2.8,6.3,4.0,3.8,3.5,14.8,13.2,13.5,13.2,12.5,1.0,3.9,1.8,0.8,1.1,0.7,1.4,0.8,0.9,0.9,"Brandýs nad Labem-Stará Boleslav, Černošice, Frýdlant nad Ostravicí, Havlíčkův Brod, Hlinsko, Holice, Humpolec, Chotěboř, Kuřim, Nová Paka, Pacov, Rožnov pod Radhoštěm, Slavkov u Brna, Třinec, Turnov, Uherský Brod, Zlín, Žamberk, Žďár nad Sázavou, Židlochovice","2103, 2105, 8107, 6102, 5302, 5303, 6103, 6104, 6209, 5210, 6109, 7206, 6215, 8121, 5109, 7208, 7213, 5315, 6115, 6221"
7211,Vizovice,40851,Zlín,3131,Zlínský kraj,3.1,6.3,4.0,3.8,4.0,14.1,13.2,13.5,13.2,12.8,0.0,3.9,1.8,0.8,1.3,0.9,1.4,0.8,0.9,0.9,"Černošice, Frýdlant nad Ostravicí, Hodonín, Humpolec, Jablunkov, Kuřim, Litomyšl, Luhačovice, Mikulov, Plzeň, Polička, Příbram, Říčany, Slavkov u Brna, Šlapanice, Tišnov, Týn nad Vltavou, Velké Meziříčí, Žamberk, Žďár nad Sázavou","2105, 8107, 6206, 6103, 8110, 6209, 5307, 7204, 6211, 3209, 5310, 2120, 2122, 6215, 6216, 6217, 3115, 6114, 5315, 6115"
7213,Zlín,40851,Zlín,3131,Zlínský kraj,4.0,6.3,4.0,3.8,3.7,12.2,13.2,13.5,13.2,13.2,0.9,3.9,1.8,0.8,1.5,0.9,1.4,0.8,0.9,0.8,"Brandýs nad Labem-Stará Boleslav, Dobruška, Hlinsko, Holice, Chotěboř, Jilemnice, Náměšť nad Oslavou, Nová Paka, Nové Město na Moravě, Pacov, Pelhřimov, Rožnov pod Radhoštěm, Telč, Třinec, Turnov, Uherský Brod, Valašské Klobouky, Valašské Meziříčí, Vlašim, Židlochovice","2103, 5202, 5302, 5303, 6104, 5104, 6107, 5210, 6108, 6109, 6110, 7206, 6112, 8121, 5109, 7208, 7209, 7210, 2125, 6221"
